iter	Passed	Remaining
391	27202	42191
392	27270	42119
393	27342	42054
394	27412	41986
395	27483	41918
396	27551	41848
397	27620	41777
398	27691	41711
399	27753	41630
400	27816	41551
401	27883	41478
402	27946	41399
403	28011	41323
404	28073	41244
405	28138	41167
406	28201	41090
407	28267	41015
408	28333	40941
409	28398	40866
410	28462	40789
411	28528	40715
412	28593	40640
413	28654	40558
414	28712	40474
415	28771	40390
416	28831	40309
417	28887	40222
418	28950	40144
419	29016	40070
420	29074	39986
421	29137	39908
422	29194	39823
423	29253	39741
424	29315	39662
425	29374	39579
426	29438	39504
427	29499	39424
428	29559	39344
429	29619	39263
430	29678	39180
431	29738	39100
432	29798	39020
433	29860	38943
434	29918	38859
435	29979	38780
436	30036	38696
437	30096	38616
438	30157	38538
439	30216	38457
440	30278	38379
441	30338	38300
442	30398	38220
443	30458	38141
444	30519	38063
445	30579	37984
446	30639	37905
447	30700	37827
448	30761	37749
449	30821	37670
450	30881	37591
451	30941	37512
452	31003	37436
453	31063	37358
454	31127	37284
455	31185	37204
456	31244	37124
457	31302	37043
458	31363	36966
459	31424	36889
460	31484	36811
461	31545	36734
462	31606	36658
463	31665	36578
464	31723	36499
465	31783	36421
466	31842	36342
467	31902	36264
468	31958	36183
469	32017	36104
470	32079	36030
471	32139	35952
472	32201	35877
473	32256	35795
474	32318	35720
475	32381	35647
476	32441	35569
477	32500	35492
478	32558	35412
479	32622	35340
480	32681	35262
481	32739	35185
482	32802	35111
483	32862	35035
484	32926	34962
485	32982	34883
486	33042	34806
487	33104	34732
488	33166	34659
489	33227	34583
490	33287	34507
491	33350	34435
492	33410	34359
493	33470	34283
494	33527	34205
495	33589	34131
496	33653	34059
497	33712	33983
498	33770	33905
499	33830	33830
500	33889	33754
501	33947	33676
502	34006	33600
503	34065	33524
504	34124	33449
505	34184	33373
506	34242	33296
507	34308	33227
508	34365	33150
509	34425	33075
510	34486	33001
511	34545	32926
512	34605	32851
513	34663	32774
514	34726	32703
515	34787	32630
516	34845	32554
517	34904	32478
518	34964	32404
519	35023	32329
520	35084	32255
521	35146	32184
522	35207	32110
523	35269	32038
524	35326	31962
525	35384	31886
526	35446	31814
527	35506	31741
528	35566	31667
529	35629	31595
530	35691	31524
531	35753	31452
532	35811	31377
533	35872	31304
534	35931	31230
535	35990	31155
536	36049	31081
537	36113	31011
538	36173	30938
539	36250	30880
540	36308	30805
541	36369	30732
542	36427	30658
543	36490	30587
544	36550	30514
545	36613	30444
546	36669	30367
547	36729	30294
548	36790	30222
549	36852	30151
550	36912	30079
551	36972	30006
552	37032	29934
553	37092	29861
554	37152	29788
555	37213	29716
556	37273	29644
557	37333	29572
558	37392	29499
559	37453	29427
560	37511	29353
561	37572	29282
562	37631	29209
563	37688	29135
564	37753	29067
565	37815	28996
566	37877	28925
567	37934	28851
568	37993	28778
569	38056	28709
570	38116	28637
571	38175	28564
572	38234	28492
573	38296	28422
574	38353	28348
575	38414	28277
576	38472	28204
577	38534	28134
578	38594	28062
579	38655	27991
580	38718	27922
581	38780	27852
582	38840	27781
583	38898	27708
584	38958	27637
585	39017	27565
586	39078	27494
587	39136	27422
588	39195	27350
589	39256	27279
590	39314	27207
591	39375	27137
592	39434	27065
593	39491	26992
594	39550	26921
595	39612	26851
596	39677	26783
597	39737	26713
598	39798	26643
599	39856	26571
600	39916	26500
601	39978	26430
602	40036	26359
603	40097	26289
604	40157	26218
605	40215	26146
606	40277	26077
607	40336	26006
608	40396	25936
609	40456	25865
610	40514	25794
611	40576	25724
612	40635	25653
613	40696	25584
614	40754	25513
615	40816	25443
616	40879	25375
617	40945	25309
618	41006	25239
619	41069	25171
620	41130	25102
621	41194	25034
622	41257	24966
623	41322	24899
624	41388	24833
625	41454	24766
626	41514	24696
627	41575	24627
628	41644	24562
629	41702	24492
630	41768	24425
631	41828	24355
632	41892	24288
633	41958	24221
634	42018	24152
635	42084	24086
636	42146	24017
637	42208	23949
638	42273	23882
639	42338	23815
640	42400	23746
641	42466	23680
642	42532	23614
643	42595	23546
644	42656	23477
645	42720	23410
646	42780	23341
647	42850	23276
648	42914	23209
649	42978	23142
650	43043	23075
651	43104	23006
652	43168	22939
653	43229	22870
654	43293	22803
655	43356	22735
656	43418	22667
657	43479	22598
658	43538	22528
659	43597	22459
660	43658	22390
661	43717	22321
662	43782	22254
663	43841	22184
664	43899	22114
665	43959	22045
666	44020	21977
667	44083	21909
668	44142	21840
669	44200	21770
670	44259	21701
671	44319	21632
672	44379	21563
673	44435	21492
674	44496	21424
675	44557	21356
676	44619	21288
677	44686	21222
678	44746	21154
679	44804	21084
680	44867	21017
681	44928	20948
682	44986	20879
683	45046	20811
684	45104	20741
685	45163	20672
686	45222	20603
687	45282	20534
688	45338	20464
689	45397	20396
690	45460	20329
691	45517	20259
692	45579	20191
693	45639	20123
694	45700	20055
695	45760	19987
696	45820	19919
697	45879	19850
698	45940	19782
699	45999	19714
700	46059	19646
701	46117	19576
702	46176	19508
703	46238	19441
704	46299	19373
705	46355	19304
706	46417	19236
707	46479	19169
708	46537	19100
709	46597	19032
710	46656	18964
711	46720	18898
712	46782	18831
713	46839	18762
714	46898	18693
715	46956	18625
716	47016	18557
717	47074	18488
718	47133	18420
719	47191	18352
720	47251	18284
721	47308	18215
722	47369	18148
723	47429	18080
724	47490	18013
725	47551	17946
726	47609	17878
727	47666	17809
728	47727	17742
729	47787	17674
730	47845	17606
731	47903	17538
732	47965	17471
733	48024	17404
734	48081	17335
735	48140	17267
736	48200	17200
737	48261	17133
738	48321	17066
739	48379	16998
740	48438	16930
741	48500	16863
742	48560	16796
743	48623	16730
744	48684	16663
745	48742	16596
746	48803	16529
747	48861	16461
748	48923	16395
749	48985	16328
750	49043	16260
751	49109	16195
752	49165	16127
753	49224	16060
754	49282	15992
755	49341	15925
756	49404	15859
757	49469	15793
758	49530	15727
759	49587	15659
760	49647	15592
761	49703	15524
762	49763	15457
763	49824	15390
764	49884	15324
765	49946	15257
766	50003	15190
767	50065	15123
768	50124	15056
769	50186	14990
770	50243	14923
771	50302	14856
772	50362	14789
773	50421	14722
774	50480	14655
775	50538	14588
776	50598	14521
777	50660	14455
778	50718	14388
779	50777	14321
780	50837	14255
781	50896	14188
782	50958	14122
783	51020	14056
784	51078	13989
785	51140	13923
786	51196	13856
787	51254	13789
788	51315	13723
789	51374	13656
790	51436	13590
791	51496	13524
792	51557	13458
793	51637	13397
794	51691	13329
795	51755	13264
796	51820	13198
797	51904	13138
798	51971	13074
799	52032	13008
800	52098	12943
801	52154	12876
802	52212	12809
803	52273	12743
804	52331	12676
805	52391	12610
806	52451	12544
807	52510	12477
808	52568	12411
809	52627	12344
810	52686	12278
811	52746	12212
812	52807	12146
813	52866	12080
814	52928	12014
815	52988	11948
816	53047	11882
817	53106	11815
818	53165	11749
819	53223	11683
820	53282	11617
821	53339	11550
822	53398	11484
823	53459	11418
824	53518	11352
825	53579	11286
826	53641	11221
827	53701	11155
828	53763	11089
829	53819	11023
830	53876	10956
831	53937	10891
832	53996	10825
833	54057	10759
834	54118	10694
835	54180	10628
836	54239	10562
837	54298	10496
838	54355	10430
839	54419	10365
840	54481	10300
841	54542	10234
842	54602	10169
843	54662	10103
844	54725	10038
845	54785	9972
846	54847	9907
847	54908	9842
848	54965	9776
849	55024	9710
850	55085	9644
851	55145	9579
852	55204	9513
853	55269	9448
854	55339	9385
855	55409	9321
856	55475	9256
857	55541	9192
858	55607	9127
859	55668	9062
860	55725	8996
861	55786	8931
862	55846	8865
863	55912	8801
864	55973	8735
865	56035	8670
866	56103	8606
867	56166	8541
868	56229	8476
869	56293	8411
870	56357	8346
871	56418	8281
872	56479	8216
873	56543	8151
874	56607	8086
875	56671	8021
876	56732	7956
877	56798	7892
878	56860	7827
879	56924	7762
880	56993	7698
881	57055	7633
882	57116	7568
883	57178	7503
884	57239	7437
885	57301	7372
886	57365	7308
887	57428	7243
888	57493	7178
889	57555	7113
890	57620	7048
891	57685	6984
892	57746	6919
893	57814	6854
894	57873	6789
895	57935	6724
896	57997	6659
897	58061	6594
898	58127	6530
899	58185	6465
900	58249	6400
901	58314	6335
902	58375	6270
903	58441	6206
904	58501	6141
905	58560	6075
906	58619	6010
907	58679	5945
908	58739	5880
909	58799	5815
910	58859	5750
911	58920	5685
912	58980	5620
913	59044	5555
914	59102	5490
915	59163	5425
916	59219	5360
917	59280	5295
918	59342	5230
919	59400	5165
920	59459	5100
921	59517	5035
922	59576	4970
923	59637	4905
924	59699	4840
925	59757	4775
926	59820	4710
927	59878	4645
928	59939	4580
929	59998	4516
930	60057	4451
931	60113	4385
932	60174	4321
933	60233	4256
934	60294	4191
935	60352	4126
936	60412	4061
937	60472	3997
938	60529	3932
939	60589	3867
940	60648	3802
941	60705	3737
942	60763	3672
943	60828	3608
944	60887	3543
945	60948	3479
946	61010	3414
947	61067	3349
948	61125	3284
949	61184	3220
950	61244	3155
951	61303	3090
952	61363	3026
953	61423	2961
954	61484	2897
955	61542	2832
956	61602	2767
957	61661	2703
958	61720	2638
959	61781	2574
960	61839	2509
961	61900	2445
962	61959	2380
963	62021	2316
964	62081	2251
965	62143	2187
966	62205	2122
967	62265	2058
968	62327	1993
969	62385	1929
970	62446	1865
971	62507	1800
972	62563	1736
973	62623	1671
974	62679	1607
975	62738	1542
976	62798	1478
977	62857	1413
978	62918	1349
979	62980	1285
980	63042	1221
981	63101	1156
982	63161	1092
983	63223	1028
984	63284	963
985	63346	899
986	63406	835
987	63467	770
988	63524	706
989	63583	642
990	63640	577
991	63701	513
992	63762	449
993	63824	385
994	63882	321
995	63940	256
996	64001	192
997	64059	128
998	64120	64
999	64181	0
